PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,__ParsedDate__,Year,Month,MonthName,YearMonth,Quarter,_SpendTemp_,__Delivery__,LeadDays
PO-00001,Alpha_Inc,10/17/2023,10/25/2023,Office Supplies,Cancelled,1176,20.13,17.81,,Yes,10/17/2023,2023,10,Oct,2023-10,2023Q4,20.13,10/25/2023,8
PO-00002,Delta_Logistics,4/25/2022,5/5/2022,Office Supplies,Delivered,1509,39.32,37.34,235,Yes,4/25/2022,2022,4,Apr,2022-04,2022Q2,39.32,5/5/2022,10
PO-00003,Gamma_Co,1/26/2022,2/15/2022,MRO,Delivered,910,95.51,92.26,41,Yes,1/26/2022,2022,1,Jan,2022-01,2022Q1,95.51,2/15/2022,20
PO-00004,Beta_Supplies,10/9/2022,10/28/2022,Packaging,Delivered,1344,99.85,95.52,112,Yes,9/10/2022,2022,9,Sep,2022-09,2022Q3,99.85,10/28/2022,48
PO-00005,Delta_Logistics,9/8/2022,9/20/2022,Raw Materials,Delivered,1180,64.07,60.53,171,No,8/9/2022,2022,8,Aug,2022-08,2022Q3,64.07,9/20/2022,42
PO-00006,Epsilon_Group,8/17/2022,8/29/2022,MRO,Delivered,1145,69.21,63.57,39,Yes,8/17/2022,2022,8,Aug,2022-08,2022Q3,69.21,8/29/2022,12
PO-00007,Gamma_Co,5/23/2022,6/3/2022,MRO,Delivered,1774,51.37,47.82,96,No,5/23/2022,2022,5,May,2022-05,2022Q2,51.37,3/6/2022,-78
PO-00008,Alpha_Inc,4/15/2022,4/29/2022,MRO,Delivered,1094,36.93,32.78,22,Yes,4/15/2022,2022,4,Apr,2022-04,2022Q2,36.93,4/29/2022,14
PO-00009,Gamma_Co,11/24/2023,11/28/2023,Raw Materials,Partially Delivered,1688,43.93,39.89,89,Yes,11/24/2023,2023,11,Nov,2023-11,2023Q4,43.93,11/28/2023,4
PO-00010,Gamma_Co,7/13/2023,7/25/2023,Raw Materials,Pending,171,76.87,70.2,8,Yes,7/13/2023,2023,7,Jul,2023-07,2023Q3,76.87,7/25/2023,12
PO-00011,Epsilon_Group,3/31/2022,4/15/2022,Raw Materials,Delivered,5000,78.49,73.68,18,Yes,3/31/2022,2022,3,Mar,2022-03,2022Q1,78.49,4/15/2022,15
PO-00012,Beta_Supplies,8/28/2023,9/11/2023,Raw Materials,Delivered,5000,88.96,86.58,115,Yes,8/28/2023,2023,8,Aug,2023-08,2023Q3,88.96,11/9/2023,73
PO-00013,Beta_Supplies,3/9/2023,3/26/2023,Electronics,Pending,5000,86.74,74.86,51,Yes,9/3/2023,2023,9,Sep,2023-09,2023Q3,86.74,3/26/2023,-161
PO-00014,Beta_Supplies,2/2/2022,,MRO,Delivered,5000,18.3,16.88,,Yes,2/2/2022,2022,2,Feb,2022-02,2022Q1,18.3,,
PO-00015,Delta_Logistics,1/31/2022,2/18/2022,Electronics,Pending,5000,54.5,48.45,22,Yes,1/31/2022,2022,1,Jan,2022-01,2022Q1,54.5,2/18/2022,18
PO-00016,Beta_Supplies,4/6/2022,4/21/2022,Packaging,Delivered,5000,15.41,15.12,,Yes,6/4/2022,2022,6,Jun,2022-06,2022Q2,15.41,4/21/2022,-44
PO-00017,Delta_Logistics,8/12/2022,8/31/2022,MRO,Delivered,1173,61.54,55.49,172,No,12/8/2022,2022,12,Dec,2022-12,2022Q4,61.54,8/31/2022,-99
PO-00018,Epsilon_Group,8/27/2022,9/4/2022,Raw Materials,Delivered,921,51.48,50.61,,Yes,8/27/2022,2022,8,Aug,2022-08,2022Q3,51.48,4/9/2022,-140
PO-00019,Gamma_Co,6/2/2023,6/5/2023,Raw Materials,Partially Delivered,1737,97.53,87.37,79,Yes,2/6/2023,2023,2,Feb,2023-02,2023Q1,97.53,5/6/2023,89
PO-00020,Delta_Logistics,9/9/2023,9/24/2023,Raw Materials,Delivered,180,45.74,38.89,,No,9/9/2023,2023,9,Sep,2023-09,2023Q3,45.74,9/24/2023,15
PO-00021,Epsilon_Group,1/28/2022,2/12/2022,Electronics,Cancelled,1735,20.54,19.69,49,Yes,1/28/2022,2022,1,Jan,2022-01,2022Q1,20.54,12/2/2022,308
PO-00022,Delta_Logistics,7/29/2023,8/11/2023,Raw Materials,Delivered,1382,24.93,23.75,,Yes,7/29/2023,2023,7,Jul,2023-07,2023Q3,24.93,11/8/2023,102
PO-00023,Epsilon_Group,7/23/2022,8/8/2022,MRO,Delivered,819,80.89,77.03,29,Yes,7/23/2022,2022,7,Jul,2022-07,2022Q3,80.89,8/8/2022,16
PO-00024,Beta_Supplies,10/28/2023,11/3/2023,Office Supplies,Partially Delivered,393,72.53,66.31,42,No,10/28/2023,2023,10,Oct,2023-10,2023Q4,72.53,3/11/2023,-231
PO-00025,Beta_Supplies,12/20/2023,1/1/2024,MRO,Delivered,1565,21.3,20.09,161,Yes,12/20/2023,2023,12,Dec,2023-12,2023Q4,21.3,1/1/2024,12
PO-00026,Epsilon_Group,7/13/2023,7/24/2023,Packaging,Delivered,1487,19.15,17.24,,Yes,7/13/2023,2023,7,Jul,2023-07,2023Q3,19.15,7/24/2023,11
PO-00027,Alpha_Inc,3/6/2023,3/26/2023,MRO,Delivered,855,78.2,67.16,17,Yes,6/3/2023,2023,6,Jun,2023-06,2023Q2,78.2,3/26/2023,-69
PO-00028,Epsilon_Group,8/14/2022,8/23/2022,Raw Materials,Delivered,435,17.13,15.84,8,Yes,8/14/2022,2022,8,Aug,2022-08,2022Q3,17.13,8/23/2022,9
PO-00029,Delta_Logistics,4/5/2023,4/22/2023,MRO,Delivered,1265,90.26,79.47,187,Yes,5/4/2023,2023,5,May,2023-05,2023Q2,90.26,4/22/2023,-12
PO-00030,Epsilon_Group,8/27/2023,,MRO,Delivered,1005,80.55,73.31,30,Yes,8/27/2023,2023,8,Aug,2023-08,2023Q3,80.55,,
PO-00031,Gamma_Co,10/12/2022,10/26/2022,Electronics,Delivered,326,18.1,15.92,,No,12/10/2022,2022,12,Dec,2022-12,2022Q4,18.1,10/26/2022,-45
PO-00032,Alpha_Inc,1/7/2022,1/15/2022,Office Supplies,Delivered,1234,17.64,15.66,26,Yes,7/1/2022,2022,7,Jul,2022-07,2022Q3,17.64,1/15/2022,-167
PO-00033,Epsilon_Group,6/13/2022,6/29/2022,MRO,Delivered,509,101.27,97.82,19,Yes,6/13/2022,2022,6,Jun,2022-06,2022Q2,101.27,6/29/2022,16
PO-00034,Alpha_Inc,12/16/2023,12/17/2023,Packaging,Delivered,1387,48.71,43.71,27,Yes,12/16/2023,2023,12,Dec,2023-12,2023Q4,48.71,12/17/2023,1
PO-00035,Alpha_Inc,3/9/2023,3/17/2023,MRO,Delivered,71,46.39,43.18,0,Yes,9/3/2023,2023,9,Sep,2023-09,2023Q3,46.39,3/17/2023,-170
PO-00036,Epsilon_Group,12/15/2022,12/23/2022,Office Supplies,Delivered,302,87.73,81.52,9,Yes,12/15/2022,2022,12,Dec,2022-12,2022Q4,87.73,12/23/2022,8
PO-00037,Epsilon_Group,10/12/2022,10/31/2022,Office Supplies,Pending,797,99.54,91.37,18,Yes,12/10/2022,2022,12,Dec,2022-12,2022Q4,99.54,10/31/2022,-40
PO-00038,Beta_Supplies,6/9/2022,6/27/2022,Office Supplies,Pending,906,101.21,90.9,94,Yes,9/6/2022,2022,9,Sep,2022-09,2022Q3,101.21,6/27/2022,-71
PO-00039,Epsilon_Group,8/9/2022,8/23/2022,Office Supplies,Delivered,1634,80.53,76.15,50,Yes,9/8/2022,2022,9,Sep,2022-09,2022Q3,80.53,8/23/2022,-16
PO-00040,Epsilon_Group,12/11/2022,,Office Supplies,Delivered,524,46.28,39.65,14,Yes,11/12/2022,2022,11,Nov,2022-11,2022Q4,46.28,,
PO-00041,Beta_Supplies,4/15/2022,4/27/2022,Electronics,Delivered,1132,17.78,15.36,96,Yes,4/15/2022,2022,4,Apr,2022-04,2022Q2,17.78,4/27/2022,12
PO-00042,Beta_Supplies,4/5/2022,4/14/2022,Office Supplies,Delivered,560,81.14,77.87,34,No,5/4/2022,2022,5,May,2022-05,2022Q2,81.14,4/14/2022,-20
PO-00043,Gamma_Co,1/25/2023,2/2/2023,Electronics,Delivered,1755,63.87,58.4,85,Yes,1/25/2023,2023,1,Jan,2023-01,2023Q1,63.87,2/2/2023,8
PO-00044,Epsilon_Group,4/10/2022,4/17/2022,MRO,Delivered,1549,48.9,42.42,48,Yes,10/4/2022,2022,10,Oct,2022-10,2022Q4,48.9,4/17/2022,-170
PO-00045,Delta_Logistics,1/3/2023,1/21/2023,MRO,Delivered,749,97.07,94.16,123,Yes,3/1/2023,2023,3,Mar,2023-03,2023Q1,97.07,1/21/2023,-39
PO-00046,Alpha_Inc,12/19/2022,,Electronics,Delivered,1025,21.11,19.25,15,Yes,12/19/2022,2022,12,Dec,2022-12,2022Q4,21.11,,
PO-00047,Beta_Supplies,9/11/2023,9/18/2023,Raw Materials,Delivered,1856,59.77,50.81,191,Yes,11/9/2023,2023,11,Nov,2023-11,2023Q4,59.77,9/18/2023,-52
PO-00048,Epsilon_Group,9/28/2022,10/14/2022,Office Supplies,Delivered,239,11.46,11.28,4,Yes,9/28/2022,2022,9,Sep,2022-09,2022Q3,11.46,10/14/2022,16
PO-00049,Delta_Logistics,2/14/2022,3/5/2022,Office Supplies,Pending,1007,52.44,46.06,167,Yes,2/14/2022,2022,2,Feb,2022-02,2022Q1,52.44,5/3/2022,78
PO-00050,Alpha_Inc,4/16/2023,,MRO,Pending,736,16.2,15.33,18,Yes,4/16/2023,2023,4,Apr,2023-04,2023Q2,16.2,,
PO-00051,Epsilon_Group,7/4/2023,7/14/2023,Electronics,Delivered,1007,22.56,19.59,,Yes,4/7/2023,2023,4,Apr,2023-04,2023Q2,22.56,7/14/2023,98
PO-00052,Delta_Logistics,5/8/2022,,Office Supplies,Delivered,612,20.99,19.75,102,Yes,8/5/2022,2022,8,Aug,2022-08,2022Q3,20.99,,
PO-00053,Alpha_Inc,1/23/2023,2/2/2023,MRO,Pending,1949,72.53,63.26,48,No,1/23/2023,2023,1,Jan,2023-01,2023Q1,72.53,2/2/2023,10
PO-00054,Delta_Logistics,3/22/2022,3/28/2022,Office Supplies,Cancelled,1640,77.92,76.41,262,No,3/22/2022,2022,3,Mar,2022-03,2022Q1,77.92,3/28/2022,6
PO-00055,Beta_Supplies,7/20/2023,8/7/2023,Electronics,Delivered,1317,68.13,60.52,136,Yes,7/20/2023,2023,7,Jul,2023-07,2023Q3,68.13,7/8/2023,-12
PO-00056,Epsilon_Group,10/28/2022,10/30/2022,Raw Materials,Delivered,881,100.94,95.05,30,Yes,10/28/2022,2022,10,Oct,2022-10,2022Q4,100.94,10/30/2022,2
PO-00057,Delta_Logistics,10/6/2023,,Packaging,Delivered,1578,48.33,42.77,206,Yes,6/10/2023,2023,6,Jun,2023-06,2023Q2,48.33,,
PO-00058,Delta_Logistics,9/26/2023,10/1/2023,MRO,Delivered,1204,39.29,35.44,,Yes,9/26/2023,2023,9,Sep,2023-09,2023Q3,39.29,1/10/2023,-259
PO-00059,Epsilon_Group,1/6/2023,1/22/2023,MRO,Pending,1558,93.46,91.27,39,Yes,6/1/2023,2023,6,Jun,2023-06,2023Q2,93.46,1/22/2023,-130
PO-00060,Alpha_Inc,8/15/2023,8/16/2023,Packaging,Delivered,1892,32.99,28.81,35,Yes,8/15/2023,2023,8,Aug,2023-08,2023Q3,32.99,8/16/2023,1
PO-00061,Epsilon_Group,7/16/2022,8/1/2022,Packaging,Delivered,696,99.59,90.18,25,Yes,7/16/2022,2022,7,Jul,2022-07,2022Q3,99.59,1/8/2022,-189
PO-00062,Delta_Logistics,12/23/2023,1/3/2024,MRO,Partially Delivered,70,12.37,11.04,10,Yes,12/23/2023,2023,12,Dec,2023-12,2023Q4,12.37,3/1/2024,69
PO-00063,Gamma_Co,3/13/2022,3/15/2022,Raw Materials,Delivered,890,98.26,93.14,49,Yes,3/13/2022,2022,3,Mar,2022-03,2022Q1,98.26,3/15/2022,2
PO-00064,Alpha_Inc,2/16/2022,3/4/2022,MRO,Delivered,216,13.95,12.31,5,Yes,2/16/2022,2022,2,Feb,2022-02,2022Q1,13.95,4/3/2022,46
